date,symbol,ofi_window,ofi_thresh,bucket,net_bps,net_pkr,capture_pkr,markout_pkr,liq_pkr,fee_pkr,markout_bps,opened_notional,fills,throttle
2026-01-07,PIAHCLA,OFF,,first15,8.401730448180073,93.2537468500075,96.50000000000674,14.000000000000767,0.0,17.24625315,1.261335123228006,110993.5,8,ON
2026-01-07,PIAHCLA,OFF,,middle,18.10495015750619,792.2295653209964,493.9499999999978,366.3199999999986,0.0,68.040434679,8.371570100404421,437576.22,64,ON
2026-01-07,PIAHCLA,OFF,,preclose45,4.653499240075888,65.51677402000259,118.65500000000137,-125.95500000000128,94.70000000000252,21.88322598,-8.946281399704077,140790.34,22,ON
2026-01-07,PIAHCLA,OFF,,last15,,0.0,0.0,0.0,0.0,0.0,,0.0,4,ON
2026-01-07,PIBTL,OFF,,first15,-8.190202862420433,-228.33057049998808,-149.99999999999682,-34.999999999991246,0.0,43.3305705,-1.255447746470981,278785.0,15,ON
2026-01-07,PIBTL,OFF,,middle,2.905286372436779,106.42342599199036,508.9099999999683,-345.56999999997794,0.0,56.916574008000005,-9.433823449721258,366309.59,26,ON
2026-01-07,PIBTL,OFF,,preclose45,0.8197822095416023,13.475600455000098,-211.42499999999677,440.274999999999,-189.90000000000217,25.474399545000004,26.78393541803221,164380.25,9,ON
2026-01-07,PIBTL,OFF,,last15,0.110964700005416,0.3998501999995163,0.0,0.0,5.999999999999517,5.6001498000000005,0.0,36034.0,3,ON
2026-01-07,PIOC,OFF,,first15,-26.555942500000228,-867.5826414750074,-1229.2500000000075,412.5,0.0,50.832641475,12.626262626262626,326700.0,3,ON
2026-01-07,PIOC,OFF,,middle,7.985186446896017,5224.1221221412,6173.765000000186,66.82500000001477,0.0,1016.4678778590002,0.1021434935550922,6542266.929999998,115,ON
2026-01-07,PIOC,OFF,,preclose45,11.073243686868686,297.3033051,0.0,0.0,339.0,41.6966949,0.0,268488.0,1,ON
2026-01-07,PIOC,OFF,,last15,,0.0,0.0,0.0,0.0,0.0,,0.0,0,ON
2026-01-07,PPL,OFF,,first15,-2.27692864048834,-25.00579956200307,164.1500000000031,-172.09000000000617,0.0,17.065799562000002,-15.669830863439293,109822.5,5,ON
2026-01-07,PPL,OFF,,middle,9.08763531048494,1907.171249992994,1262.7049999999813,970.6050000000126,0.0,326.13875000700006,4.624914658589653,2098644.1299999994,96,ON
2026-01-07,PPL,OFF,,preclose45,10.7564489397359,410.2177896729971,-68.80499999998801,538.3149999999852,0.0,59.29221032700002,14.115325948222589,381369.16,12,ON
2026-01-07,PPL,OFF,,last15,-15.425206462001412,-85.68841016499941,109.15000000000065,-185.0,-1.2000000000000457,8.638410165,-33.30279077386685,55550.9,9,ON
2026-01-07,PSO,OFF,,first15,4.459502421376357,64.44738222399985,-124.58499999998868,211.5049999999885,0.0,22.472617776,14.63530444657704,144516.97999999998,4,ON
2026-01-07,PSO,OFF,,middle,15.056321889576996,492.48620625402015,258.9900000000343,284.34999999998587,0.0,50.85379374600001,8.693167595221473,327095.96,13,ON
2026-01-07,PSO,OFF,,preclose45,22.274768340221005,177.8383201140001,10.909999999996217,179.3500000000039,0.0,12.421679886,22.464110655441484,79838.46,4,ON
2026-01-07,PSO,OFF,,last15,4.304495188179188,122.70592851101286,-249.98999999999504,474.3200000000078,-57.33999999999986,44.284071489,16.639034335443235,285064.62,6,ON
2026-01-07,PTC,OFF,,first15,-10.751589565652967,-128.59438699999234,-87.49999999999858,-22.499999999993747,0.0,18.594387000000005,-1.8811922578482292,119605.0,4,ON
2026-01-07,PTC,OFF,,middle,-8.230527688919713,-1181.204535188003,211.19499999995455,-1169.2349999999576,0.0,223.164535188,-8.14712503692005,1435150.43,59,ON
2026-01-07,PTC,OFF,,preclose45,-4.833500708709898,-530.923748427959,771.0100000000875,-1046.1500000000472,-85.01999999999936,170.7637484280001,-9.524092266336456,1098424.89,49,ON
2026-01-07,PTC,OFF,,last15,,0.0,0.0,0.0,0.0,0.0,,0.0,1,ON
2026-01-07,SYS,OFF,,first15,28.77469445431876,871.0335676069869,657.2449999999773,260.8050000000098,0.0,47.01643239300001,8.615723281223737,302708.18999999994,27,ON
2026-01-07,SYS,OFF,,middle,12.9822761359919,1104.6240979879951,1071.0999999999983,165.6999999999968,0.0,132.175902012,1.947416464706888,850870.9,78,ON
2026-01-07,SYS,OFF,,preclose45,12.18839221460433,243.0769330910095,375.440000000018,-101.3700000000085,0.0,30.993066909000003,-5.08290648184191,199433.14,16,ON
2026-01-07,SYS,OFF,,last15,-5.266697021719099,-34.51341872099936,4.595000000003523,-62.40500000000316,33.480000000000274,10.183418721,-9.522911372451835,65531.43,6,ON
2026-01-07,THCCL,OFF,,first15,,0.0,0.0,0.0,0.0,0.0,,0.0,0,ON
2026-01-07,THCCL,OFF,,middle,11.45678001750065,955.7295842159918,668.1949999999928,417.2049999999992,0.0,129.67041578400003,5.001232551697515,834204.3599999999,60,ON
2026-01-07,THCCL,OFF,,preclose45,75.54429278842193,412.1491134059916,15.649999999999622,-2.150000000001171,407.1599999999932,8.510886594,-0.3940812298562485,54557.280000000006,11,ON
2026-01-07,THCCL,OFF,,last15,,0.0,0.0,0.0,0.0,0.0,,0.0,0,ON
2026-01-07,SAZEW,OFF,,first15,-6.860667874376111,-66.29595777899611,134.19999999999914,-185.46999999999525,0.0,15.025957779,-19.193448790683917,96631.93,8,ON
2026-01-07,SAZEW,OFF,,middle,-2.814731856860228,-283.1048801139809,1259.0000000000198,-1385.7000000000007,0.0,156.404880114,-13.77713422842054,1005796.9799999996,77,ON
2026-01-07,SAZEW,OFF,,preclose45,13.10861920278625,1083.6091805500068,931.6350000000116,280.46499999999537,0.0,128.49081945000003,3.3928365970868777,826638.6899999998,65,ON
2026-01-07,SAZEW,OFF,,last15,14.779871750887274,283.42227918500413,209.11000000000763,43.62999999999533,60.45000000000118,29.767720815,2.2752121193345536,191762.34000000003,16,ON
2026-01-07,SEARL,OFF,,first15,2.605512684095748,180.39772537797623,636.260000000022,-348.2000000000458,0.0,107.662274622,-5.029107294459371,692369.4,18,ON
2026-01-07,SEARL,OFF,,middle,-16.28665969350691,-1049.1906239739997,112.15999999996173,-1061.1599999999612,0.0,100.190623974,-16.472461157629876,644202.46,25,ON
2026-01-07,SEARL,OFF,,preclose45,45.16543633334181,1845.642287274006,292.39000000000664,785.3100000000094,831.43999999999,63.49771272600001,19.217629034347837,408640.42,13,ON
2026-01-07,SEARL,OFF,,last15,,0.0,0.0,0.0,0.0,0.0,,0.0,0,ON
2026-01-07,TOMCL,OFF,,first15,,0.0,0.0,0.0,0.0,0.0,,0.0,0,ON
2026-01-07,TOMCL,OFF,,middle,11.207295225681944,495.6681503670128,395.7400000000176,168.70999999999515,0.0,68.781849633,3.8146142255150632,442272.77,31,ON
2026-01-07,TOMCL,OFF,,preclose45,2.1340725361864576,42.72326574100318,18.44500000000017,55.36500000000302,0.0,31.086734259000004,2.7655405998744547,200195.94,15,ON
2026-01-07,TOMCL,OFF,,last15,27.22597929094054,164.85678953199422,-10.03000000000094,6.490000000000805,177.81999999999437,9.423210468,1.0718187955730754,60551.28,3,ON
2026-01-07,TPL,OFF,,first15,-14.417454787552362,-144.54940169999998,4.499999999994806,-133.49999999999477,0.0,15.5494017,-13.315380011968358,100260.0,11,ON
2026-01-07,TPL,OFF,,middle,4.907744628683461,169.03561765699794,-358.9049999999897,581.4949999999876,0.0,53.554382343,16.88300372674789,344426.27,43,ON
2026-01-07,TPL,OFF,,preclose45,-26.094556951616216,-233.28742671200516,-8.440000000005142,-211.0,0.0,13.847426712,-23.601578509364565,89400.8,10,ON
2026-01-07,TPL,OFF,,last15,-39.53775308641894,-124.89976199999744,3.2800000000005127,-36.07999999999981,-87.19999999999814,4.899762,-11.421335865780252,31590.0,5,ON
2026-01-08,AKBL,OFF,,first15,14.062413996559536,620.5410017470006,170.8250000000004,518.2850000000002,0.0,68.568998253,11.745135644039802,441276.3000000001,15,ON
2026-01-08,AKBL,OFF,,middle,-7.436735019034093,-1210.2111090610283,2059.994999999988,-3017.185000000016,0.0,253.021109061,-18.540571294055937,1627341.9800000004,75,ON
2026-01-08,AKBL,OFF,,preclose45,8.9395148659273,757.4132162800083,1882.3900000000085,-993.3900000000002,0.0,131.58678372,-11.724676150066696,847264.3400000001,32,ON
2026-01-08,AKBL,OFF,,last15,-65.29118438267736,-6317.497500231999,1516.6749999999795,-6270.3549999999805,-1413.6999999999996,150.117500232,-64.80396777914153,967588.13,31,ON
2026-01-08,ATRL,OFF,,first15,-22.897154707070197,-1806.2454149489745,-354.33499999997923,-1329.1749999999952,0.0,122.735414949,-16.849496395056413,788851.47,28,ON
2026-01-08,ATRL,OFF,,middle,11.091823713971324,1389.3937384970493,764.4300000000728,819.5599999999765,0.0,194.59626150300005,6.54272060622316,1252628.76,30,ON
