date,symbol,n_events,n_fills,n_orders_sent,n_cancels,rejected_crossing,halted_requotes,pos_at_close,net_pnl,equity_mid_mark,liquidation_clean,unfilled_sh,eod_fired,rest_oid_resolved_frac
2025-11-14,UBL,8515,159,1629,1105,1,1169,-439.0,-1916.2926629160356,-1727.8740121760056,True,0.0,True,0.2515
2025-11-14,PPL,40780,793,7747,3839,113,3349,-537.0,-1967.5487782800774,-1929.960872580079,True,0.0,True,0.1977
2025-11-17,UBL,7601,248,1868,1258,6,0,-517.0,-344.8375578559644,-327.20855580596253,True,0.0,True,0.3432
2025-11-17,PPL,36473,705,7124,3845,105,0,-349.0,-2782.509520533873,-2752.780800113862,True,0.0,True,0.1863
2025-11-18,UBL,6496,166,1302,801,3,804,-517.0,-19228.154934185906,,False,517.0,True,0.3751
2025-11-18,PPL,22908,491,6102,3644,81,0,295.0,-42.95694980502594,16.171818104965496,True,0.0,True,0.2115
2025-11-19,UBL,6060,209,1612,1028,9,784,,,,,,False,0.2904
2025-11-19,PPL,47743,847,11500,3827,324,2314,,,,,,False,0.218
2025-11-20,UBL,5154,144,1094,739,13,0,-286.0,-743.3353084519331,-520.5686500519369,True,0.0,True,0.3445
2025-11-20,PPL,48963,1050,10412,4757,169,0,538.0,-1171.4372286779108,-1117.1782441998948,True,0.0,True,0.1552
2025-11-21,UBL,7335,135,1548,855,10,1613,-374.0,-8043.938432593059,,False,216.0,True,0.3155
2025-11-21,PPL,35263,640,7775,3672,95,3803,-178.0,-2608.403935516042,-2586.029877704037,True,0.0,True,0.1655
2025-11-24,UBL,7141,250,2159,1387,28,0,-517.0,-1527.3218755951966,-1253.7979589951865,True,0.0,True,0.337
2025-11-24,PPL,25514,752,8290,5028,66,0,-166.0,-716.655401089869,-638.9331425898708,True,0.0,True,0.2092
2025-11-25,UBL,5586,271,1611,1217,0,3,-18.0,-516.6922489149456,,False,18.0,True,0.2586
2025-11-25,PPL,21557,507,4979,3428,16,0,-487.0,-348.8053939050151,-338.9064736300206,True,0.0,True,0.2207
2025-11-26,UBL,7479,212,2071,1264,5,0,-404.0,-2948.493700146122,-2859.9307593461126,True,0.0,True,0.2914
2025-11-26,PPL,24718,648,7000,3378,127,0,-375.0,-1701.0705672661716,-1648.8899592411763,True,0.0,True,0.1902
2025-11-27,UBL,7203,180,1556,1172,3,0,-378.0,-1504.421448880079,-1400.6799914800504,True,0.0,True,0.2464
2025-11-27,PPL,38975,752,7639,4412,47,0,503.0,-368.25227014200937,-357.6474592730083,True,0.0,True,0.2079
2025-11-28,UBL,10127,227,2202,1413,11,1389,-138.0,408.95533983700443,460.6290980110134,True,0.0,True,0.1933
2025-11-28,PPL,50435,829,10431,4433,366,5940,-528.0,-11557.30880000291,-441.324800002898,False,528.0,True,0.1812
2025-12-01,UBL,6155,170,1784,896,28,0,6.0,-4.677569232908809,-3.0304132329083586,True,0.0,True,0.2732
2025-12-01,PPL,34364,479,9329,2543,1403,0,-495.0,-2192.7435791400785,-2122.660895040084,True,0.0,True,0.1515
2025-12-02,UBL,6788,105,957,562,2,0,-499.0,198.29800040693954,237.94270210695686,True,0.0,True,0.3402
2025-12-02,PPL,43947,516,7669,3568,175,39,221.0,702.9741638268606,733.0753218618629,True,0.0,True,0.1805
2025-12-03,UBL,7136,101,1472,736,9,0,-525.0,546.6895959271642,564.6117834271572,True,0.0,True,0.3506
2025-12-03,PPL,33605,691,7419,4223,138,13,409.0,-2608.4323615750473,-2567.024534496042,True,0.0,True,0.1709
2025-12-04,UBL,5070,153,1268,950,0,0,-208.0,196.92179714603117,286.02915317103907,True,0.0,True,0.3223
