date,symbol,n_events,n_fills,n_orders_sent,n_cancels,rejected_crossing,halted_requotes,pos_at_close,net_pnl,equity_mid_mark,liquidation_clean,unfilled_sh,eod_fired,rest_oid_resolved_frac
2026-01-14,UBL,19084,488,5022,2378,52,0,-501.0,-1556.8917692149116,-1523.2157901919563,True,0.0,True,0.2307
2026-01-14,PPL,48284,1277,15531,6634,313,0,488.0,-1821.9094315041148,-1701.450716658117,True,0.0,True,0.1708
2026-01-15,UBL,16688,633,5967,2957,32,0,-229.0,-1946.2888702291384,-1731.7548460291437,True,0.0,True,0.2419
2026-01-15,PPL,49872,1152,14390,6692,181,0,413.0,-147.1664375559776,-87.50286750597297,True,0.0,True,0.1538
2026-01-16,UBL,16044,370,6144,2397,53,581,-507.0,-846.1333755922678,-713.169000542257,True,0.0,True,0.1882
2026-01-16,PPL,59165,1354,16530,6060,296,1291,269.0,2271.105756778794,2278.0105025787925,True,0.0,True,0.1872
2026-01-19,UBL,25698,566,6921,3110,79,0,80.0,-5887.12264009902,-5844.451873939019,True,0.0,True,0.2281
2026-01-19,PPL,42246,1254,13552,6285,295,0,-325.0,833.0321778439102,905.1708424839162,True,0.0,True,0.1742
2026-01-20,UBL,16619,284,3603,1747,43,0,-425.0,949.0398389442416,1128.9703587692347,True,0.0,True,0.2967
2026-01-20,PPL,40511,1228,12034,6398,133,0,16.0,-1222.144118658055,-1221.0058439380555,True,0.0,True,0.224
2026-01-21,UBL,10750,356,2953,1649,12,0,329.0,-1638.54182400406,-1479.6363703040697,True,0.0,True,0.3686
2026-01-21,PPL,37582,1062,11780,5327,212,9,395.0,-1979.5849547270918,-1951.4438986270834,True,0.0,True,0.1884
2026-01-22,UBL,12553,284,2760,1579,18,0,-546.0,-719.0941838749568,-663.7117181249778,True,0.0,True,0.2799
2026-01-22,PPL,28696,645,8171,4116,117,10,-510.0,-2226.938289825688,-2091.0674848956987,True,0.0,True,0.1822
2026-01-23,UBL,14540,187,3161,1003,16,505,-368.0,1418.1784579730302,1450.4034635730204,True,0.0,True,0.2379
2026-01-23,PPL,27446,720,8166,4124,71,755,-510.0,-957.2830174570263,-926.1044734570314,True,0.0,True,0.155
2026-01-26,UBL,10288,351,3226,1927,38,0,8.0,-2837.5541571559042,-2835.332357923904,True,0.0,True,0.269
2026-01-26,PPL,28471,795,9279,5104,54,0,-177.0,-491.4572239101253,-451.25835583412845,True,0.0,True,0.2328
2026-01-27,UBL,13592,398,3651,2092,37,0,-531.0,-3849.658549074724,-3633.2193382747355,True,0.0,True,0.2349
2026-01-27,PPL,28487,893,10051,5260,67,0,54.0,-3869.1610952634182,-3860.714732783419,True,0.0,True,0.1746
2026-01-28,UBL,15951,303,3484,1962,16,0,430.0,-546.8817361238471,-356.80684967385605,True,0.0,True,0.2355
2026-01-28,PPL,39294,966,10981,5362,137,0,-316.0,-2470.3962409602245,-2436.6277070762153,True,0.0,True,0.1993
2026-01-29,UBL,14292,381,3298,1886,15,0,-484.0,-5431.0750306750415,-5352.523766675033,True,0.0,True,0.2271
2026-01-29,PPL,41973,1072,11638,5670,134,0,-500.0,3036.773696408607,3097.333126408572,True,0.0,True,0.1572
2026-01-30,UBL,11813,321,2893,1807,8,345,-117.0,-1308.4914598410833,-1246.743282441079,True,0.0,True,0.1923
2026-01-30,PPL,35691,1017,10488,5257,133,992,-159.0,-1525.4672193100632,-1451.0059640200634,True,0.0,True,0.1447
2026-02-02,UBL,13375,393,3752,2145,22,0,295.0,-1898.6042234020715,-1816.46954165207,True,0.0,True,0.2413
2026-02-02,PPL,30432,880,9972,5943,81,10,-355.0,-13388.000351804003,,False,355.0,True,0.1734
2026-02-03,UBL,13342,273,3090,1651,22,0,517.0,-974.7523503060511,-853.9282250160468,True,0.0,True,0.3181
2026-02-03,PPL,31748,912,9529,5304,87,14,-424.0,-12651.955185492945,,False,424.0,True,0.2216
2026-02-04,UBL,12522,355,3588,2127,20,0,150.0,-312.3263750920305,-238.21379354203236,True,0.0,True,0.3065
