date,symbol,n_events,n_fills,n_orders_sent,n_cancels,rejected_crossing,halted_requotes,pos_at_close,net_pnl,equity_mid_mark,liquidation_clean,unfilled_sh,eod_fired,rest_oid_resolved_frac
2025-09-19,PPL,55902,366,13582,6352,210,1769,455.0,105.66954777392675,126.05933901392564,True,0.0,True,0.1334
2025-09-22,UBL,18750,454,3360,2115,43,0,-304.0,-3252.162611475913,-3228.6599002759176,True,0.0,True,0.2883
2025-09-22,PPL,35172,167,8082,5428,31,0,-511.0,1317.7225187440054,1327.9703043689951,True,0.0,True,0.1983
2025-09-23,UBL,12585,495,2810,1986,30,0,-527.0,-922.9302532352449,-881.9147628502687,True,0.0,True,0.1701
2025-09-23,PPL,39556,245,7016,5317,21,0,527.0,-1992.3600693159387,-1953.573923335949,True,0.0,True,0.256
2025-09-24,UBL,10521,281,1807,1362,11,0,-444.0,1437.3772408469522,1581.900047262985,True,0.0,True,0.2193
2025-09-24,PPL,79398,576,16594,10230,161,4176,-304.0,-4993.540293280086,,False,304.0,True,0.2074
2025-09-25,UBL,7890,518,1908,1318,19,0,-436.0,2110.299710670748,2231.5463184707623,True,0.0,True,0.2798
2025-09-25,PPL,50759,524,10650,7305,144,15,110.0,2334.644058153026,2353.4315777830307,True,0.0,True,0.1627
2025-09-26,UBL,16503,884,4010,2448,137,517,-544.0,-3881.042972824682,-3489.695366174681,True,0.0,True,0.2519
2025-09-26,PPL,45988,464,9333,6370,213,1656,253.0,752.2404847709986,768.999224252002,True,0.0,True,0.2479
2025-09-29,UBL,10723,470,2673,1706,64,0,52.0,-2387.268978855911,-2382.7911093559087,True,0.0,True,0.2237
2025-09-29,PPL,26586,272,6243,4242,25,0,151.0,2494.7911177419555,2534.2207703189597,True,0.0,True,0.1989
2025-09-30,UBL,15993,951,3681,2086,54,0,-501.0,-8855.098146083037,-8713.278203883005,True,0.0,True,0.3
2025-09-30,PPL,27842,275,6047,4675,24,16,497.0,-8480.678251793011,,False,497.0,True,0.2436
2025-10-01,UBL,9987,655,2182,1582,4,0,313.0,-514.7948822350445,-485.0623236350366,True,0.0,True,0.2551
2025-10-01,PPL,26210,304,5455,4345,21,0,74.0,1188.1341719189677,1193.0111559789693,True,0.0,True,0.2002
2025-10-02,UBL,11745,562,2914,1845,74,0,-213.0,-1563.551018675149,-1514.3822839851491,True,0.0,True,0.302
2025-10-02,PPL,22939,234,4597,3493,30,0,243.0,1545.5549271180062,1590.7006225829973,True,0.0,True,0.1867
2025-10-03,UBL,15841,1322,5295,2247,252,2,-543.0,-7181.233288371965,-7161.557466171973,True,0.0,True,0.1537
2025-10-03,PPL,21318,173,4754,3216,14,1,489.0,631.7421953049925,725.4450003649981,True,0.0,True,0.1943
2025-10-06,UBL,12432,941,3322,1930,51,0,-259.0,-1976.5562114373024,-1822.9646057132923,True,0.0,True,0.2627
2025-10-06,PPL,24761,320,5425,3852,22,0,-456.0,638.3371750071092,784.8938049511053,True,0.0,True,0.2327
2025-10-07,UBL,11412,684,2768,1577,56,5,-319.0,4966.3622084349045,,True,0.0,True,0.2762
2025-10-07,PPL,24961,187,5960,4063,58,0,446.0,325.2403553529439,345.4448069589416,True,0.0,True,0.246
2025-10-08,UBL,14832,846,3730,2277,76,3,-412.0,-17391.354119520227,,False,412.0,True,0.231
2025-10-08,PPL,25803,249,5777,4121,37,0,1.0,2914.722878667017,2914.813053477017,True,0.0,True,0.2177
2025-10-09,UBL,12269,954,3356,2346,64,7,-23.0,296.6307942032945,,True,0.0,True,0.2632
2025-10-09,PPL,24454,230,5130,3983,19,0,527.0,-327.4807751950284,-139.20821356105444,True,0.0,True,0.228
2025-10-10,UBL,10905,512,2560,1459,66,1052,-232.0,-12299.545910387053,,False,232.0,True,0.2393
2025-10-10,PPL,28250,207,5586,3990,52,1026,515.0,143.1551986530685,158.4819431880751,True,0.0,True,0.2133
2025-10-13,UBL,12057,1013,3345,1923,54,4,-302.0,-1602.7405403891316,,False,102.0,True,0.2643
2025-10-13,PPL,37652,627,9012,6394,112,0,445.0,1092.3804518228426,1132.0016965478571,True,0.0,True,0.1983
2025-10-14,UBL,13571,493,3612,2322,41,624,-429.0,-22475.938268265018,,False,429.0,True,0.2455
2025-10-14,PPL,37869,263,10970,6947,51,0,-524.0,-46.31885757607233,-12.424167524062796,True,0.0,True,0.1538
2025-10-15,UBL,22995,1002,7394,4518,153,0,-409.0,3008.9917146130174,3088.803905082983,True,0.0,True,0.1666
2025-10-15,PPL,44568,261,10945,7583,50,0,478.0,-1123.6718357509817,-1070.8761797949846,True,0.0,True,0.209
2025-10-16,UBL,11487,301,3161,2544,13,2,1.0,2382.2891850719834,,False,1.0,True,0.1947
2025-10-16,PPL,25384,98,6382,5006,94,0,34.0,1921.5440770380046,1926.1174331880047,True,0.0,True,0.1887
2025-10-17,UBL,9618,359,2043,1480,20,993,146.0,-6311.475740048874,,False,146.0,True,0.2666
2025-10-17,PPL,28627,228,6207,4652,36,901,499.0,195.8064517800085,210.35847890100558,True,0.0,True,0.1969
2025-10-20,UBL,12288,575,3487,2291,52,5,-544.0,-1219.471373820008,,True,0.0,True,0.2355
2025-10-20,PPL,23372,218,6288,4654,46,18,-80.0,2018.4993785130137,2043.6574193130145,True,0.0,True,0.1822
2025-10-21,UBL,16204,614,4722,3730,25,5,-521.0,1063.1049277316852,,False,21.0,True,0.188
2025-10-21,PPL,37508,197,7830,6654,21,2540,543.0,-8475.943054556032,,False,543.0,True,0.2184
2025-10-22,UBL,13346,358,2885,2294,12,860,517.0,-18424.47995419198,,False,517.0,True,0.2603
2025-10-22,PPL,49999,337,8199,6776,34,3510,484.0,-11276.851167839966,,False,484.0,True,0.2123
2025-10-23,UBL,11397,503,2606,1854,23,0,420.0,3734.0802234920848,3849.4627284920716,True,0.0,True,0.2404
2025-10-23,PPL,41821,274,8873,6522,48,3731,-321.0,3676.192247892024,,True,0.0,True,0.1805
2025-10-24,UBL,9685,615,2172,1491,43,1097,-22.0,-726.7066097231236,-717.479123191124,True,0.0,True,0.2799
2025-10-24,PPL,38897,198,7962,6020,30,3869,9.0,2491.542229687983,2491.858215565983,True,0.0,True,0.1476
2025-10-27,UBL,9854,700,2744,2044,23,0,216.0,914.2083985368081,931.1670294188079,True,0.0,True,0.262
2025-10-27,PPL,23170,107,5318,4228,11,2232,512.0,-304.1458795940125,,True,0.0,True,0.1993
