symbol,n_days_screened,n_days_top20,n_days_material,n_days_tradeable,median_rank,best_rank,n_days_top20_rankonly,days_traded,days_unscreenable,pct_days_unscreenable,pct_days_top20,pct_days_top20_screened,pct_days_top20_rankonly,pct_days_material,pct_days_tradeable,n_days_level,ceiling_median,ceiling_p25,ceiling_p75,ceiling_max,ceiling_raw_median,notional_m_median,spread_bps_median,pct_time_wide_median,mk1_bps_median,mk5_bps_median,mk10_bps_median,mk60_bps_median,pct_days_edge5_pos,pct_days_edge10_pos,ceiling_iqr,iqr_over_median,net5_trec_median,net10_trec_median
JSML,205,8,104,202,135.0,1.0,8,207,2,0.00966183574879227,0.03864734299516908,0.03902439024390244,0.03864734299516908,0.5024154589371981,0.9758454106280193,185.0,33799.63781680737,14633.169396396419,111758.49382742861,1032616.1162855156,64133.58646500005,7.90728789,167.5213675213682,0.9732620320855615,38.898128898128725,39.874763705103796,39.4466006175058,39.321629658509934,0.9459459459459459,0.9513513513513514,97125.32443103219,2.8735611001942507,39.094763705103794,38.6666006175058
TPLI,206,8,53,200,254.5,6.0,8,207,1,0.004830917874396135,0.03864734299516908,0.038834951456310676,0.03864734299516908,0.2560386473429952,0.966183574879227,185.0,8146.916974391969,1054.9847829228802,34202.669802177224,689778.0156453089,15169.556546999935,1.91643418,167.0876238585583,0.9491525423728814,25.709219858155954,26.963597679007087,29.367961816690098,27.18406321772981,0.8108108108108109,0.8054054054054054,33147.68501925434,4.068739760506552,26.183597679007086,28.587961816690097
TPLT,206,8,85,205,176.5,6.0,8,207,1,0.004830917874396135,0.03864734299516908,0.038834951456310676,0.03864734299516908,0.4106280193236715,0.9903381642512077,185.0,24049.152810280437,5083.551185934057,77844.38466881092,566773.5954314849,29006.71651600005,6.34725601,95.04412763068606,0.870722433460076,16.885553470919632,17.803841272975717,18.44222482721538,19.49091232693665,0.8810810810810811,0.8918918918918919,72760.83348287686,3.02550505861368,17.023841272975716,17.66222482721538
FCSC,206,8,88,206,156.5,2.0,8,207,1,0.004830917874396135,0.03864734299516908,0.038834951456310676,0.03864734299516908,0.4251207729468599,0.9951690821256038,185.0,24041.811009614383,11904.973319233986,71250.93151024307,1340139.9903725153,30193.446601000218,13.258310419999999,44.15011037527696,0.6661676646706587,9.050853165693773,9.151592996909073,9.049041390168071,9.867864875338759,0.9297297297297298,0.918918918918919,59345.958191009086,2.4684479121508978,8.371592996909074,8.269041390168072
IMS,206,8,86,206,172.0,2.0,8,207,1,0.004830917874396135,0.03864734299516908,0.038834951456310676,0.03864734299516908,0.41545893719806765,0.9951690821256038,185.0,22372.427012850705,8282.175935144118,58567.18008977734,956917.7587626022,34844.119020999846,10.60703941,64.95849873691797,0.7771587743732591,7.48546511627913,7.872089033083324,9.249175308174367,10.90364922677803,0.7567567567567568,0.772972972972973,50285.00415463322,2.24763295129981,7.092089033083324,8.469175308174368
AICL,207,8,125,207,107.0,5.0,8,207,0,0.0,0.03864734299516908,0.03864734299516908,0.03864734299516908,0.6038647342995169,1.0,186.0,38925.28114540157,17797.216786278594,94966.80105798879,644245.2722292236,60099.4714310002,29.582245005,42.63761904439221,0.6871265477314177,6.976564781490634,6.378076088950618,6.613477161798711,6.192577753391758,0.9139784946236559,0.8817204301075269,77169.58427171019,1.982505508012923,5.598076088950617,5.833477161798711
KOSM,207,8,136,207,113.0,1.0,8,207,0,0.0,0.03864734299516908,0.03864734299516908,0.03864734299516908,0.6570048309178744,1.0,186.0,47381.62228784765,24240.161505104104,85229.38009605525,2072808.9444739653,57765.09234399998,43.62664607,17.036084138520877,0.3208608954849733,4.963830150903846,4.744278365006007,4.7875291265812825,4.284917963869422,0.956989247311828,0.9301075268817204,60989.218590951146,1.2871914393398376,3.964278365006007,4.007529126581282
CSAP,207,8,108,207,122.0,3.0,8,207,0,0.0,0.03864734299516908,0.03864734299516908,0.03864734299516908,0.5217391304347826,1.0,186.0,32203.890233269252,12685.08208407301,85228.18192273314,607747.8887296461,42084.37309899989,35.653973275,25.757920776529534,0.4212654916169448,4.700029016390338,4.58080100884086,4.57964147220488,4.766737297660395,0.9354838709677419,0.8978494623655914,72543.09983866013,2.252619149835419,3.8008010088408595,3.79964147220488
CPHL,207,8,161,207,92.0,3.0,8,207,0,0.0,0.03864734299516908,0.03864734299516908,0.03864734299516908,0.7777777777777778,1.0,186.0,53595.771729981876,31951.191077479954,112430.05156722844,886238.0782462808,71566.07744099996,130.06175743,10.106114199089735,0.07496072874457398,2.6033712038729453,2.5556484547977174,2.3874923436662923,1.8680735027641189,0.9247311827956989,0.8763440860215054,80478.86048974848,1.501589731652805,1.7756484547977174,1.6074923436662922
PAKT,207,7,87,207,155.0,1.0,7,207,0,0.0,0.033816425120772944,0.033816425120772944,0.033816425120772944,0.42028985507246375,1.0,186.0,21887.969010927514,8402.359295881439,50278.475398128125,1584238.3390720335,36850.869006500216,15.328600600000001,52.771478950188936,0.7794474393530997,12.011967844774615,12.18377237358829,12.352453775167426,13.810865919600987,0.9247311827956989,0.9193548387096774,41876.116102246684,1.9132024575391229,11.403772373588291,11.572453775167427
